haskell-pandoc-lua-marshal 0.1.6.1-4
haskell-pandoc-types 1.22.2.1-2
haskell-pem 0.2.4-242
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-27
haskell-quickcheck 2.14.2-349
haskell-random 1.2.1.1-47
haskell-regex-base 0.94.0.2-2
haskell-regex-pcre 0.95.0.0-13
haskell-resourcet 1.2.6-8
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-71
haskell-sha 1.6.4.4-19
haskell-skylighting 0.12.3.1-16
haskell-skylighting-core 0.12.3.1-16
haskell-socks 0.6.1-190
haskell-split 0.2.3.5-4
haskell-splitmix 0.1.0.4-92
haskell-streaming-commons 0.2.2.4-32
haskell-strict 0.4.0.1-129
haskell-syb 0.7.2.1-161
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-184
haskell-temporary 1.3-452
haskell-texmath 0.12.5.2-8
haskell-text-conversions 0.3.1.1-19
haskell-text-icu 0.8.0.2-6
haskell-tf-random 0.5-550
haskell-th-abstraction 0.4.4.0-1
haskell-th-compat 0.1.4-1
haskell-th-lift 0.8.2-12
haskell-th-lift-instances 0.1.20-2
haskell-these 1.1.1.1-156
haskell-time-compat 1.9.6.1-55
haskell-time-locale-compat 0.1.1.5-17
haskell-tls 1.6.0-12
haskell-transformers-compat 0.7.2-1
haskell-typed-process 0.2.10.1-12
haskell-unicode-collation 0.1.3.2-20
haskell-unicode-data 0.3.0-25
haskell-unicode-transforms 0.4.0.1-25
haskell-uniplate 1.6.13-146
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-30
haskell-utf8-string 1.0.2-108
haskell-uuid-types 1.0.5-75
haskell-vector 0.12.3.1-120
haskell-vector-algorithms 0.8.0.4-123
haskell-x509 1.7.7-15
haskell-x509-store 1.6.9-40
haskell-x509-system 1.6.7-43
haskell-x509-validation 1.6.12-45
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-133
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-50
haskell-zip-archive 0.4.2.1-28
haskell-zlib 0.6.3.0-18
hdf5 1.12.2-1
helm 3.9.4-1
hexchat 2.16.1-2
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hiredis 1.0.2-1
hplip 1:3.22.6-1
hspell 1.4-4
htop 3.2.1-1
http-parser 2.9.4-1
httpie 3.2.1-1
hunspell 1.7.1-1
hunspell-en_us 2020.12.07-4
hwdata 0.361-1
hwloc 2.8.0-1
hyphen 2.8.8-4
i2c-tools 4.3-3
i3-gaps 4.20.1-2
i3blocks 1.5-3
i3lock-color 2.13.c.4-1
i3status 2.14-1
iana-etc 20220715-1
ibus 1.5.27-1
icecream 1.4-2
icemon 3.3-1
icu 71.1-1
id3lib 3.8.3-18
ida-free 8.0.220829-1
idnkit 2.3-4
iftop 1.0pre4-5
ijs 0.35-4
imagemagick 7.1.0.47-1
imath 3.1.5-2
img2pdf 0.4.4-1
imlib2 1.9.1-1
incidenceeditor 22.08.0-1
inetutils 2.3-1
iniparser 4.1-4
intltool 0.51.0-6
iotop 0.6-9
iproute2 5.19.0-1
ipset 7.15-1
iptables 1:1.8.8-2
iputils 20211215-1
ipython 8.4.0-1
iso-codes 4.11.0-1
isync 1.4.4-1
itinerary 22.08.0-1
itstool 1:2.0.7-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
javafx10-scenebuilder 10.0.0-0
jbig2dec 0.19-1
jd-gui 1.6.6-1
jdk-openjdk 18.0.2.1.u0-1
jdk10-openjdk 10.0.2.u13-2
jdk11-openjdk 11.0.16.1.u1-2
jdk6 6u45-7
jdk7-openjdk 7.u261_2.6.22-1
jdk8-openj9-bin 8.162-1
jdk8-openjdk 8.345.u01-1
jdk9 9.0.4-1
jemalloc 1:5.3.0-1
jetbrains-toolbox 1.26.0.13072-1
jfsutils 1.1.15-8
joe 4.6-2
jose 11-1
jq 1.6-4
jre-openjdk 18.0.2.1.u0-1
jre-openjdk-headless 18.0.2.1.u0-1
jre10-openjdk 10.0.2.u13-2
jre10-openjdk-headless 10.0.2.u13-2
jre11-openjdk 11.0.16.1.u1-2
jre11-openjdk-headless 11.0.16.1.u1-2
jre7-openjdk 7.u261_2.6.22-1
jre7-openjdk-headless 7.u261_2.6.22-1
jre8-openjdk 8.345.u01-1
jre8-openjdk-headless 8.345.u01-1
js52 52.9.0-4
js60 60.9.0-2
js68 68.12.0-1
js78 78.15.0-4
js91 91.13.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
juk 22.08.0-1
jxrlib 0.2.4-1
k3b 1:22.08.0-1
k9s 0.26.3-1
kaccounts-integration 22.08.0-2
kaccounts-providers 22.08.0-2
kactivities 5.97.0-1
kactivities-stats 5.97.0-1
kactivitymanagerd 5.25.4-1
kaddressbook 22.08.0-1
kajongg 22.08.0-1
kalarm 22.08.0-1
kalarmcal 21.12.3-1
kalendar 22.08.0-1
kalgebra 22.08.0-1
kalzium 22.08.0-1
kamera 22.08.0-1
kamoso 22.08.0-1
kanagram 22.08.0-1
kapman 22.08.0-1
kapptemplate 22.08.0-1
karchive 5.97.0-1
kate 22.08.0-1
katomic 22.08.0-1
kauth 5.97.0-1
kazam 1.4.5-9
kbackup 22.08.0-1
kbd 2.5.1-1
kblackbox 22.08.0-1
kblocks 22.08.0-1
kbookmarks 5.97.0-1
kbounce 22.08.0-1
kbreakout 22.08.0-1
kbruch 22.08.0-1
kcachegrind 22.08.0-1
kcachegrind-common 22.08.0-1
kcalc 22.08.0-1
kcalendarcore 5.97.0-1
kcalutils 22.08.0-1
kcharselect 22.08.0-1
kcmutils 5.97.0-1
kcodecs 5.97.0-1
kcolorchooser 22.08.0-1
kcolorpicker 0.2.0-1
kcompletion 5.97.0-1
kconfig 5.97.0-1
kconfigwidgets 5.97.0-1
kcontacts 1:5.97.0-1
kcoreaddons 5.97.0-1
kcrash 5.97.0-1
kcron 22.08.0-1
kdav 1:5.97.0-1
kdbusaddons 5.97.0-1
kde-accessibility-meta 22.08-2
kde-applications-meta 22.08-2
kde-cli-tools 5.25.4-1
kde-dev-scripts 22.08.0-1
kde-dev-utils 22.08.0-1
kde-education-meta 22.08-2
kde-games-meta 22.08-2
kde-graphics-meta 22.08-2
kde-gtk-config 5.25.4-1
kde-multimedia-meta 22.08-2
kde-network-meta 22.08-2
kde-pim-meta 22.08-2
kde-sdk-meta 22.08-2
kde-system-meta 22.08-2
kde-utilities-meta 22.08-2
kdebugsettings 22.08.0-1
kdeclarative 5.97.0-1
kdeconnect 22.08.0-1
kdecoration 5.25.4-1
kded 5.97.0-1
kdeedu-data 22.08.0-1
kdegraphics-mobipocket 22.08.0-1
kdegraphics-thumbnailers 22.08.0-1
kdelibs4support 5.97.0-1
kdenetwork-filesharing 22.08.0-1
kdenlive 22.08.0-1
kdepim-addons 22.08.0-1
kdepim-apps-libs 20.08.1-1
kdepim-runtime 22.08.0-1
kdeplasma-addons 5.25.4-1
kdesdk-kio 22.08.0-1
kdesdk-thumbnailers 22.08.0-1
kdesu 5.97.0-1
kdevelop 22.08.0-1
kdevelop-meta 22.08-2
kdevelop-php 22.08.0-1
kdf 22.08.0-1
kdiagram 2.8.0-1
kdialog 22.08.0-1
kdiamond 22.08.0-1
kdnssd 5.97.0-1
kdoctools 5.97.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 22.08.0-1
keepass 2.51-1
keepassx 0.4.4-3
kemoticons 5.97.0-1
kerl-git 2.2.4.r0.6c9ddc9-1
keyutils 1.6.3-1
kfilemetadata 5.97.0-1
kfind 22.08.0-1
kfloppy 22.08.0-1
kfourinline 22.08.0-1
kgamma5 5.25.4-1
kgeography 22.08.0-1
kget 22.08.0-1
kglobalaccel 5.97.0-1
kgoldrunner 22.08.0-1
kgpg 22.08.0-1
kguiaddons 5.97.0-1
khangman 22.08.0-1
khealthcertificate 22.06-1
khelpcenter 22.08.0-1
kholidays 1:5.97.0-1
khotkeys 5.25.4-1
khtml 5.97.0-1
ki18n 5.97.0-1
kiconthemes 5.97.0-1
kidentitymanagement 22.08.0-1
kidletime 5.97.0-1
kig 22.08.0-1
kigo 22.08.0-1
killbots 22.08.0-1
kimageannotator 0.6.0-1
kimagemapeditor 22.08.0-1
kimap 22.08.0-1
kinfocenter 5.25.4-1
kinit 5.97.0-1
kio 5.97.0-1
kio-extras 22.08.0-1
kio-fuse 5.0.1-1
kio-gdrive 22.08.0-1
kio-zeroconf 22.08.0-1
kipi-plugins 22.04.0-1
kipi-plugins-debug 22.04.0-1
kirigami-gallery 22.08.0-1
kirigami2 5.97.0-1
kiriki 22.08.0-1
